ACT,Acton,2601,Service Available,Brownfields Fibre,9CVI-02
ACT,Amaroo,2914,Service Available,Brownfields Fibre,9CRC-01
ACT,Amaroo,2914,Build Commenced,Greenfields Fibre,AYCA-1FTKZ3
ACT,Barton,2600,Build Preparation,Greenfields Fibre,AYCA-1CDO38
ACT,Belconnen,2617,Service Available,Greenfields Fibre,AYCA-VQ1E0,new
ACT,Bonner,2914,Service Available,Brownfields Fibre,9BON-01
ACT,Bonner,2914,Service Available,Greenfields Fibre,AYCA-1GKNOO
ACT,Bonner,2914,Service Available,Greenfields Fibre,AYCA-1DUG4B
ACT,Braddon,2612,Service Available,Brownfields Fibre,9CVI-01
ACT,Braddon,2612,Service Available,Brownfields Fibre,9CVI-02
ACT,Braddon,2612,Service Available,Greenfields Fibre,AYCA-N339Z
ACT,Braddon,2612,Build Preparation,Greenfields Fibre,AYCA-UI5VU
ACT,Braddon,2612,Build Preparation,Greenfields Fibre,AYCA-VHR0W
ACT,Casey,2912,Service Available,Brownfields Fibre,9BON-02
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1FTKMW,new
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1FTKQO,new
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96LK
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96LT
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96M2
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96MB
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96MK
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96MT
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96N2
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96NB
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96Q5
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96QE
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-G1IS9
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1D96LA
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1DUG3B
ACT,Casey,2912,Service Available,Greenfields Fibre,AYCA-1FTKL2,new
ACT,Casey,2912,Build Preparation,Greenfields Fibre,AYCA-1O2FQY
ACT,Casey,2912,Build Commenced,Greenfields Fibre,AYCA-1FTKUU
ACT,Casey,2912,Build Commenced,Greenfields Fibre,AYCA-1FTKV7
ACT,Casey,2912,Build Commenced,Greenfields Fibre,AYCA-1JJM04
ACT,Casey,2912,Build Commenced,Greenfields Fibre,AYCA-1FTKQW
ACT,Casey,2912,Build Commenced,Greenfields Fibre,AYCA-1FTKRA
ACT,City,2601,Service Available,Brownfields Fibre,9CVI-02
ACT,City,2601,Service Available,Greenfields Fibre,AYCA-FEHK4
